model,type,condition,lam,seed,acc,firing_rate,spike_cost,delay_mean,delay_std,delay_max
vanilla,none,vanilla,1.7,1,70.97665847665847,0.14054160268222768,0.07019237457559659,0.0,0.0,0.0
vanilla,none,vanilla,1.7,2,62.714987714987714,0.1398838010595823,0.07010536382977779,0.0,0.0,0.0
vanilla,none,vanilla,3.0,0,56.296068796068795,0.10282980939035627,0.05148055519048984,0.0,0.0,0.0
vanilla,none,vanilla,3.0,1,62.56142506142506,0.11371920428951679,0.0582357205163974,0.0,0.0,0.0
vanilla,none,vanilla,3.0,2,53.578009828009826,0.1289316150312244,0.06357271797381915,0.0,0.0,0.0
vanilla,none,vanilla,5.0,0,46.575552825552826,0.094011592380733,0.04670595019482649,0.0,0.0,0.0
vanilla,none,vanilla,5.0,1,57.17137592137592,0.10752027826832514,0.053280405270365566,0.0,0.0,0.0
vanilla,none,vanilla,5.0,2,51.9963144963145,0.10491925323761261,0.052481789428454176,0.0,0.0,0.0
vanilla,none,vanilla,10.0,0,47.46621621621622,0.07533484496570433,0.037493350414129406,0.0,0.0,0.0
vanilla,none,vanilla,10.0,1,59.18304668304668,0.07889132562960688,0.04006129503250122,0.0,0.0,0.0
vanilla,none,vanilla,10.0,2,57.67813267813268,0.07697871397676086,0.03960133515871488,0.0,0.0,0.0
vanilla,none,vanilla,30.0,0,44.932432432432435,0.043657985577907454,0.02191759918171626,0.0,0.0,0.0
vanilla,none,vanilla,30.0,1,47.312653562653566,0.0701337322763104,0.035848317811122306,0.0,0.0,0.0
vanilla,none,vanilla,30.0,2,50.8445945945946,0.05736323646089271,0.029249179535187207,0.0,0.0,0.0
